Timestamp,Emotion,Confidence
2025-10-16 22:54:35.221683,Surprise,0.67
2025-10-16 22:54:36.356388,Surprise,0.41
2025-10-16 22:54:37.414393,Surprise,0.34
2025-10-16 22:54:38.591165,Fear,0.27
2025-10-16 22:54:39.636171,Neutral,0.33
2025-10-16 22:54:40.773988,Neutral,0.48
2025-10-16 22:54:41.812994,Happy,0.65
2025-10-16 22:54:42.972058,Happy,0.71
2025-10-16 22:54:44.175057,Neutral,0.52
2025-10-16 22:54:45.467068,Neutral,0.35
2025-10-16 22:54:46.752068,Neutral,0.48
2025-10-16 22:54:48.030748,Neutral,0.41
2025-10-16 22:54:49.310750,Neutral,0.41
2025-10-16 22:54:50.516720,Happy,0.45
2025-10-16 22:54:51.578712,Neutral,0.58
2025-10-16 22:54:52.763725,Neutral,0.44
2025-10-16 22:54:54.019096,Neutral,0.54
2025-10-16 22:54:55.191101,Neutral,0.57
2025-10-16 22:54:56.248423,Neutral,0.55
2025-10-16 22:54:57.654426,Neutral,0.46
2025-10-16 22:54:59.073170,Happy,0.51
2025-10-16 22:54:59.921170,Neutral,0.50
2025-10-16 22:55:01.132053,Neutral,0.51
2025-10-16 22:55:01.896749,Neutral,0.38
2025-10-16 22:55:03.063752,Neutral,0.38
2025-10-16 22:55:04.282522,Neutral,0.44
2025-10-16 22:55:06.340824,Neutral,0.52
2025-10-16 22:55:07.632825,Neutral,0.53
2025-10-16 22:55:08.499216,Happy,0.41
2025-10-16 22:55:09.259215,Happy,0.43
2025-10-16 22:55:10.126221,Neutral,0.48
2025-10-16 22:55:11.547634,Neutral,0.46
2025-10-16 22:55:12.827635,Neutral,0.51
2025-10-16 22:55:14.005636,Neutral,0.47
2025-10-16 22:55:15.358628,Neutral,0.41
2025-10-16 22:55:16.861121,Neutral,0.49
2025-10-16 22:55:18.351682,Neutral,0.45
2025-10-16 22:55:19.546229,Neutral,0.49
2025-10-16 22:55:20.574231,Neutral,0.48
2025-10-16 22:55:21.808862,Neutral,0.46
2025-10-16 22:55:22.829858,Neutral,0.45
2025-10-16 22:55:24.025606,Neutral,0.41
2025-10-16 22:55:25.089611,Happy,0.84
2025-10-16 22:55:26.253811,Happy,0.96
2025-10-16 22:55:27.291622,Happy,1.00
2025-10-16 22:55:28.381621,Happy,0.99
2025-10-16 22:55:29.500596,Neutral,0.30
2025-10-16 22:55:30.561594,Neutral,0.47
2025-10-16 22:55:31.740111,Neutral,0.34
2025-10-16 22:55:32.784121,Neutral,0.36
2025-10-16 22:55:33.961515,Neutral,0.43
2025-10-16 22:55:35.542522,Sad,0.21
2025-10-16 22:55:36.925113,Happy,0.34
2025-10-16 22:55:38.344116,Neutral,0.39
2025-10-16 22:55:39.788198,Neutral,0.54
2025-10-16 22:55:40.930210,Neutral,0.44
2025-10-16 22:55:42.764008,Neutral,0.47
2025-10-16 22:55:43.947664,Neutral,0.49
2025-10-16 22:55:45.178038,Neutral,0.45
2025-10-16 22:55:46.689814,Neutral,0.48
2025-10-16 22:55:48.160932,Neutral,0.61
2025-10-16 22:55:49.716234,Neutral,0.66
2025-10-16 22:55:51.175243,Neutral,0.42
2025-10-16 22:55:53.163526,Neutral,0.48
2025-10-16 22:55:54.631132,Neutral,0.57
2025-10-16 22:55:56.235151,Neutral,0.49
2025-10-16 22:55:57.991373,Neutral,0.48
2025-10-16 22:55:59.104380,Neutral,0.50
2025-10-16 22:56:00.346766,Neutral,0.47
2025-10-16 22:56:01.857750,Neutral,0.55
2025-10-16 22:56:03.243978,Neutral,0.52
2025-10-16 22:56:04.435961,Neutral,0.58
2025-10-16 22:56:05.729657,Neutral,0.50
2025-10-16 22:56:07.091662,Neutral,0.25
2025-10-16 22:56:08.389315,Neutral,0.53
2025-10-16 22:56:10.042143,Neutral,0.49
2025-10-16 22:56:11.517483,Neutral,0.51
2025-10-16 22:56:12.952230,Neutral,0.49
2025-10-16 22:56:15.234464,Neutral,0.54
2025-10-16 22:56:16.967070,Neutral,0.46
2025-10-16 22:56:18.894678,Neutral,0.45
2025-10-16 22:56:20.144670,Neutral,0.34
2025-10-16 22:56:21.457890,Neutral,0.53
2025-10-16 22:56:22.702892,Neutral,0.47
2025-10-16 22:56:24.069686,Neutral,0.50
2025-10-16 22:56:26.062907,Neutral,0.59
2025-10-16 22:56:27.257945,Neutral,0.41
2025-10-16 22:56:28.552157,Neutral,0.53
2025-10-16 22:56:30.282333,Neutral,0.52
2025-10-16 22:56:31.664025,Neutral,0.52
2025-10-16 22:56:32.760030,Neutral,0.54
2025-10-16 22:56:34.002431,Neutral,0.38
2025-10-16 22:56:35.128431,Neutral,0.39
2025-10-16 22:56:36.504476,Neutral,0.32
2025-10-16 22:56:37.973454,Neutral,0.44
2025-10-16 22:56:39.255709,Neutral,0.46
2025-10-16 22:56:40.382709,Neutral,0.58
2025-10-16 22:56:41.714056,Neutral,0.62
2025-10-16 22:56:42.809391,Neutral,0.52
2025-10-16 22:56:44.127452,Neutral,0.57
2025-10-16 22:56:45.215471,Neutral,0.58
2025-10-16 22:56:46.502963,Neutral,0.52
2025-10-16 22:56:47.990966,Neutral,0.53
2025-10-16 22:56:49.218245,Neutral,0.46
2025-10-16 22:56:50.766218,Neutral,0.52
2025-10-16 22:56:52.726210,Neutral,0.58
2025-10-16 22:56:54.463029,Neutral,0.53
2025-10-16 22:56:56.821722,Neutral,0.61
2025-10-16 22:56:59.576115,Neutral,0.54
2025-10-16 22:57:01.439103,Neutral,0.54
2025-10-16 22:57:03.416187,Neutral,0.56
2025-10-16 22:57:05.105259,Neutral,0.48
2025-10-16 22:57:06.636216,Neutral,0.51
2025-10-16 22:57:07.961894,Neutral,0.57
2025-10-16 22:57:09.411892,Neutral,0.56
2025-10-16 22:57:11.086652,Neutral,0.45
2025-10-16 22:57:13.308567,Neutral,0.57
2025-10-16 22:57:14.769568,Neutral,0.57
2025-10-16 22:57:16.394438,Neutral,0.39
2025-10-16 22:57:18.185934,Neutral,0.52
2025-10-16 22:57:19.935912,Neutral,0.59
2025-10-16 22:57:23.026020,Neutral,0.55
2025-10-16 22:57:24.478321,Neutral,0.52
2025-10-16 22:57:25.607323,Neutral,0.56
2025-10-16 22:57:26.816997,Neutral,0.52
2025-10-16 22:57:28.132340,Neutral,0.54
2025-10-16 22:57:29.853999,Neutral,0.51
2025-10-16 22:57:31.463011,Neutral,0.51
2025-10-16 22:57:33.216049,Neutral,0.50
2025-10-16 22:57:35.145375,Neutral,0.57
2025-10-16 22:57:36.382370,Neutral,0.49
2025-10-16 22:57:37.785190,Neutral,0.56
2025-10-16 22:57:38.873728,Neutral,0.54
2025-10-16 22:57:40.610281,Neutral,0.55
